p2/orbit/p2.eclipse.plugin/org.apache.ant/1.10.12.v20211102-1452, Apache-2.0 AND EPL-2.0 AND W3C AND LicenseRef-Flora AND LicenseRef-Public-Domain, approved, CQ23806
p2/orbit/p2.eclipse.plugin/org.apache.batik.anim/1.16.0.v20221027-0840, Apache-2.0, approved, #5348
p2/orbit/p2.eclipse.plugin/org.apache.batik.awt.util/1.16.0.v20221027-0840, Apache-2.0, approved, #5325
p2/orbit/p2.eclipse.plugin/org.apache.batik.bridge/1.16.0.v20230210-1249, Apache-2.0, approved, #5354
p2/orbit/p2.eclipse.plugin/org.apache.batik.codec/1.16.0.v20221027-0840, Apache-2.0, approved, #5360
p2/orbit/p2.eclipse.plugin/org.apache.batik.constants.source/1.16.0.v20221027-0840, Apache-2.0, approved, #4851
p2/orbit/p2.eclipse.plugin/org.apache.batik.constants/1.16.0.v20221027-0840, Apache-2.0, approved, #4851
p2/orbit/p2.eclipse.plugin/org.apache.batik.css.source/1.16.0.v20221027-0840, Apache-2.0, approved, #4852
p2/orbit/p2.eclipse.plugin/org.apache.batik.css/1.16.0.v20221027-0840, Apache-2.0, approved, #4852
p2/orbit/p2.eclipse.plugin/org.apache.batik.dom.svg/1.16.0.v20221027-0840, Apache-2.0 AND W3C, approved, #5335
p2/orbit/p2.eclipse.plugin/org.apache.batik.dom/1.16.0.v20230210-1249, Apache-2.0 AND W3C, approved, #5350
p2/orbit/p2.eclipse.plugin/org.apache.batik.ext/1.16.0.v20221027-0840, Apache-2.0 AND W3C, approved, #5326
p2/orbit/p2.eclipse.plugin/org.apache.batik.gvt/1.16.0.v20221027-0840, Apache-2.0, approved, #5351
p2/orbit/p2.eclipse.plugin/org.apache.batik.i18n.source/1.16.0.v20221027-0840, Apache-2.0, approved, #4849
p2/orbit/p2.eclipse.plugin/org.apache.batik.i18n/1.16.0.v20221027-0840, Apache-2.0, approved, #4849
p2/orbit/p2.eclipse.plugin/org.apache.batik.parser/1.16.0.v20221027-0840, Apache-2.0, approved, #5365
p2/orbit/p2.eclipse.plugin/org.apache.batik.script/1.16.0.v20221027-0840, Apache-2.0, approved, #5327
p2/orbit/p2.eclipse.plugin/org.apache.batik.shared.resources/1.16.0.v20221027-0840, unknown, restricted, none
p2/orbit/p2.eclipse.plugin/org.apache.batik.svggen/1.16.0.v20221027-0840, Apache-2.0, approved, #5347
p2/orbit/p2.eclipse.plugin/org.apache.batik.transcoder/1.16.0.v20221027-0840, Apache-2.0, approved, #5362
p2/orbit/p2.eclipse.plugin/org.apache.batik.util.source/1.16.0.v20221027-0840, Apache-2.0, approved, #4850
p2/orbit/p2.eclipse.plugin/org.apache.batik.util/1.16.0.v20221027-0840, Apache-2.0, approved, #4850
p2/orbit/p2.eclipse.plugin/org.apache.batik.xml/1.16.0.v20221027-0840, Apache-2.0, approved, #5341
p2/orbit/p2.eclipse.plugin/org.apache.commons.codec.source/1.14.0.v20221112-0806, Apache-2.0 AND (Apache-2.0 AND BSD-3-Clause), approved, #3905
p2/orbit/p2.eclipse.plugin/org.apache.commons.codec/1.14.0.v20221112-0806, Apache-2.0 AND (Apache-2.0 AND BSD-3-Clause), approved, #3905
p2/orbit/p2.eclipse.plugin/org.apache.commons.exec/1.1.0.v201301240602, Apache-2.0, approved, CQ6553
p2/orbit/p2.eclipse.plugin/org.apache.commons.io/2.8.0.v20210415-0900, Apache-2.0, approved, CQ23182
